Fe,Si,C,Al,B,P,Ge,Cu,Ag,Ti,V,Zr,Nb,Mo,Hf,Ta,W,Ce,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Total SiCAl,Total BP,Total GaGe,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe GaGe,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Relative to Early GaGe,Relative to Late GaGe,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Magnetic Saturation,Composition ID,Reference DOI
73.5,13.5,0,0,9,0,0,1,0,0,0,0,3,0,0,0,0,0,813,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.25,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,0,9,0,0,1,0,0,1,0,2,0,0,0,0,0,833,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,45.9551509,12.7742969,78.9181,5,,,,1.239583333,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,0,9,0,0,1,0,0,2,0,1,0,0,0,0,0,833,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,39.77066975,11.59202563,64.9298,5,,,,1.288194444,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,0,9,0,0,1,0,0,1.5,0,1.5,0,0,0,0,0,833,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,42.86291032,12.18316127,71.923935,5,,,,1.260416667,1100100011,10.1016/j.jallcom.2006.12.133
73.5,15.5,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,823,3600,,,,0,1,22,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.18,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,823,3600,,,,0,1,18,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.18,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,823,3600,,,,0,1,14,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.18,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,0,0,3,4,0,1,0,0,0,0,3,0,0,0,0,0,813,1800,,830,895,0,0,20,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,-17,-82,0.69,1100110011,10.1016/S0921-4526(02)01741-6
73.5,15.5,0,0,6,1,0,1,0,0,0,0,3,0,0,0,0,0,813,1800,,824,963,0,0,20,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,-11,-150,0.93,1100110011,10.1016/S0921-4526(02)01741-6
73.5,15.5,0,0,5,2,0,1,0,0,0,0,3,0,0,0,0,0,813,1800,,823,924,0,0,20,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,-10,-111,0.78,1100110011,10.1016/S0921-4526(02)01741-6
73.5,15.5,0,0,4,3,0,1,0,0,0,0,3,0,0,0,0,0,813,1800,,823,916,0,0,20,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,-10,-103,0.67,1100110011,10.1016/S0921-4526(02)01741-6
73.5,15.5,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,813,1800,,824,999,0,0,20,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,-11,-186,1.01,1100100011,10.1016/S0921-4526(02)01741-6
84.3,4,0,0,8,3,0,0.7,0,0,0,0,0,0,0,0,0,0,748,600,,,,0,0,20,4,11,0,0.7,0,0.047449585,0.130486358,0,0,0.008303677,0,,5.714285714,,15.71428571,,0,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,1.94,1100110010,10.1063/1.3058624
83.3,4,0,0,8,4,0,0.7,0,0,0,0,0,0,0,0,0,0,748,600,,,,0,0,20,4,12,0,0.7,0,0.048019208,0.144057623,0,0,0.008403361,0,,5.714285714,,17.14285714,,0,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,1.88,1100110010,10.1063/1.3058624
74.5,13.5,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,763,3600,,,,0,0,17.5,13.5,9,0,0,3,0.181208054,0.120805369,0,0.040268456,0,,4.5,,3,,0,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,,,1.28,1100100001,10.1063/1.342149
