Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Ce,U,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Total SiCAl,Total BP,Total GaGe,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe GaGe,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Relative to Early GaGe,Relative to Late GaGe,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Coercivity,Composition ID,Reference DOI
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,928,3600,,,,0,0,25,13.5,9,1,1,3,0.186206897,0.124137931,0.013793103,0.04137931,0.013793103,3,4.5,13.5,3,9,0.333333333,1,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,4644.936707,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,1,9,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,923,3600,,,,0,0,25,10.5,9,5,1,3,0.146853147,0.125874126,0.06993007,0.041958042,0.013986014,3,3.5,10.5,3,9,1.666666667,5,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,4106.876281,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,928,3600,,,,0,0,25,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,3922.927079,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,883,3600,,,,0,0,25,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,2428.806915,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,928,3600,,,,0,0,25,13.5,7,2,1,3,0.183673469,0.095238095,0.027210884,0.040816327,0.013605442,3,4.5,13.5,2.333333333,7,0.666666667,2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,996.4925244,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,923,3600,,,,0,0,25,11.5,9,4,1,3,0.160839161,0.125874126,0.055944056,0.041958042,0.013986014,3,3.833333333,11.5,3,9,1.333333333,4,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,991.8449496,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,883,3600,,,,0,0,25,13.5,9,1,1,3,0.186206897,0.124137931,0.013793103,0.04137931,0.013793103,3,4.5,13.5,3,9,0.333333333,1,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,127.4894336,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,7.5,0,2,9,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,873,3600,,,,0,0,25,9.5,9,6,1,3,0.132867133,0.125874126,0.083916084,0.041958042,0.013986014,3,3.166666667,9.5,3,9,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,13.40232971,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,873,3600,,,,0,0,25,11.5,9,4,1,3,0.160839161,0.125874126,0.055944056,0.041958042,0.013986014,3,3.833333333,11.5,3,9,1.333333333,4,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,3.708543591,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,723,3600,,,,0,0,25,11.5,9,4,1,3,0.160839161,0.125874126,0.055944056,0.041958042,0.013986014,3,3.833333333,11.5,3,9,1.333333333,4,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.761637973,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,7.5,0,2,9,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,723,3600,,,,0,0,25,9.5,9,6,1,3,0.132867133,0.125874126,0.083916084,0.041958042,0.013986014,3,3.166666667,9.5,3,9,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.560954666,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,1,9,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,723,3600,,,,0,0,25,10.5,9,5,1,3,0.146853147,0.125874126,0.06993007,0.041958042,0.013986014,3,3.5,10.5,3,9,1.666666667,5,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.491752025,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,7.5,0,2,9,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,,,0,0,25,9.5,9,6,1,3,0.132867133,0.125874126,0.083916084,0.041958042,0.013986014,3,3.166666667,9.5,3,9,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.166837085,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,883,3600,,,,0,0,25,13.5,7,2,1,3,0.183673469,0.095238095,0.027210884,0.040816327,0.013605442,3,4.5,13.5,2.333333333,7,0.666666667,2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.043560591,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
