SVM,Random Forest,Neural Network,kNN,Tree,Linear Regression,LogCoercivity,Composition ID,Reference DOI
2.705519598,8.023030471,7.998762477,7.237290119,8.300311059,2.936000427,8.443533025,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.853551636,7.914383553,7.387647316,7.848584781,7.522210197,3.146188042,8.32041799,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.797907514,8.340143986,7.851723655,8.084185195,8.300311059,2.974977241,8.274593358,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.266703469,6.972551693,5.918308196,7.915761084,4.811649464,2.38038446,7.795155434,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.383426916,6.722989907,6.66633735,4.631716707,7.631002501,2.698338878,6.904241638,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.917486762,7.183685259,7.195300668,7.380414987,7.522210197,3.250108586,6.899566794,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.174315553,5.058790039,4.963585132,6.057862369,4.811649464,2.341407646,4.848033487,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.445013795,2.078211423,2.306308057,1.725193044,1.945534683,2.695104815,2.595428551,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
2.327260045,1.017747371,1.652841564,0.864773206,0.53899966,2.58944994,1.310639236,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
0.556579896,-0.176013511,-0.008464171,0.522387762,0.746266437,0.607474003,0.566244043,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
0.674333645,-0.091346956,0.173525375,0.355171106,0.746266437,0.713128877,0.445297599,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
0.492644769,-0.176013511,0.170015488,0.46836817,0.746266437,0.503553459,0.399951285,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
