Linear Regression,Neural Network,kNN,Random Forest,SVM,Tree,Magnetic Saturation,Composition ID,Reference DOI
1.229400635,1.139156364,1.240110597,1.268458855,1.252564316,1.255468039,1.25,1100100011,10.1016/j.jallcom.2006.12.133
1.322784424,1.182433064,1.243582819,1.23500024,1.330052916,1.255468039,1.239583333,1100100011,10.1016/j.jallcom.2006.12.133
1.381134033,1.219757694,1.12287037,1.23500024,1.372467904,1.255468039,1.288194444,1100100011,10.1016/j.jallcom.2006.12.133
1.351959229,1.198286489,1.262731481,1.23500024,1.35126041,1.255468039,1.260416667,1100100011,10.1016/j.jallcom.2006.12.133
1.225891113,1.185113316,1.199740274,1.204061292,1.222998805,1.16719582,1.18,1100100011,10.1016/j.pnsc.2017.09.002
1.245391846,1.207455392,1.18,1.216978888,1.241780532,1.16719582,1.18,1100100011,10.1016/j.pnsc.2017.09.002
1.264892578,1.230529163,1.18,1.216978888,1.26056226,1.16719582,1.18,1100100011,10.1016/j.pnsc.2017.09.002
1.240631104,0.985470158,0.713333333,0.778767552,1.233417916,0.68,0.69,1100110011,10.1016/S0921-4526(02)01741-6
1.164459229,1.041999102,0.906666667,1.057372431,1.160254264,0.855,0.93,1100110011,10.1016/S0921-4526(02)01741-6
1.199005127,0.981957987,0.793333333,0.88874344,1.194045809,0.855,0.78,1100110011,10.1016/S0921-4526(02)01741-6
1.216156006,0.96228285,0.713333333,0.778767552,1.209989589,0.68,0.67,1100110011,10.1016/S0921-4526(02)01741-6
1.13180542,1.101449379,1.053333333,1.145011539,1.128189922,1.09,1.01,1100100011,10.1016/S0921-4526(02)01741-6
1.687133789,1.670221496,1.801587916,1.73622279,1.633918554,1.91,1.94,1100110010,10.1063/1.3058624
1.694732666,1.686435823,1.629091443,1.790155457,1.654810397,1.91,1.88,1100110010,10.1063/1.3058624
1.227355957,1.217370536,1.246666667,1.25382691,1.239207458,1.255468039,1.28,1100100001,10.1063/1.342149
1.34463501,1.255613542,1.240133333,1.260571478,1.361016693,1.255468039,1.2553,1100100011,10.1063/1.342149
1.281097412,1.221292625,1.18,1.216978888,1.265073855,1.16719582,1.18,1100100011,10.1063/1.342149
1.339141846,1.250876718,1.240133333,1.23500024,1.360068287,1.255468039,1.2401,1100100011,10.1063/1.342149
1.281066895,1.224675074,1.235,1.23500024,1.306509464,1.255468039,1.225,1100100011,10.1063/1.342149
0.81539917,1.057350895,1.144515718,1.133507175,0.836343953,1.178463218,1.247222601,1100100011,10.1063/1.352574
0.808746338,1.045939251,1.100896229,1.118962273,0.829435141,1.096492426,1.116364133,1101100011,10.1063/1.352574
0.810974121,1.04985477,1.100896229,1.118962273,0.831738078,1.178463218,1.109703835,1101100011,10.1063/1.352574
0.809295654,1.046985892,1.100896229,1.118962273,0.830010876,1.096492426,1.076620718,1101100011,10.1063/1.352574
1.729034424,1.743052542,1.826157004,1.821906472,1.683746682,1.817535194,1.85,1100110010,10.1063/1.3535169
1.704223633,1.715447376,1.813707839,1.791378432,1.661635808,1.817535194,1.812790408,1100110010,10.1063/1.3535169
1.739379883,1.755391789,1.601275593,1.43062324,1.69670942,1.503637165,1.422510582,1100110010,10.1063/1.3535169
1.73059082,1.746255033,1.601275593,1.738737538,1.687941017,1.503637165,1.584763747,1100110010,10.1063/1.3535169
1.651733398,1.646999629,1.578019957,1.595845133,1.609025391,1.510451821,1.476188926,1100110010,10.1063/1.3535169
1.721801758,1.736346089,1.732332267,1.791378432,1.679172614,1.817535194,1.796552451,1100110010,10.1063/1.3535169
1.669311523,1.669938971,1.750908812,1.744639368,1.626562197,1.769012913,1.713156231,1100110010,10.1063/1.3535169
1.678100586,1.681408642,1.750908812,1.764846382,1.6353306,1.769012913,1.757330831,1100110010,10.1063/1.3535169
1.686645508,1.692878313,1.784074237,1.776826264,1.644099003,1.769012913,1.782239375,1100110010,10.1063/1.3535169
1.634155273,1.624345785,1.532835992,1.575019358,1.591488585,1.510451821,1.544714715,1100110010,10.1063/1.3535169
1.713012695,1.726286099,1.808341154,1.791378432,1.670404211,1.817535194,1.815680604,1100110010,10.1063/1.3535169
1.625366211,1.613999989,1.532835992,1.575019358,1.582720182,1.565015035,1.577604336,1100110010,10.1063/1.3535169
1.69543457,1.704215659,1.802560763,1.791378432,1.652867406,1.817535194,1.812652506,1100110010,10.1063/1.3535169
1.598999023,1.583128222,1.558248262,1.575019358,1.556414973,1.565015035,1.552425734,1100110010,10.1063/1.3535169
1.555297852,1.531566132,1.521460995,1.536463519,1.512572959,1.505978625,1.51045182,1100110010,10.1063/1.3535169
1.511352539,1.484295502,1.521460995,1.531562581,1.468730944,1.505978625,1.50150543,1100110010,10.1063/1.3535169
1.736236572,1.752231014,1.81290993,1.799534087,1.691108363,1.81290993,1.81617,1100110000,10.1063/1.3535290
1.700653076,1.709760507,1.814481637,1.808557603,1.662229076,1.81290993,1.812788589,1100110010,10.1063/1.3535290
1.712158203,1.722718191,1.81290993,1.808557603,1.671471682,1.81290993,1.8097712,1100110010,10.1063/1.3535290
1.667266846,1.670122487,1.822393111,1.803155671,1.635652727,1.822393111,1.81448211,1100110010,10.1063/1.3535290
1.690246582,1.69991474,1.821828604,1.803155671,1.654137939,1.822393111,1.820885122,1100110010,10.1063/1.3535290
