kNN,Linear Regression,Neural Network,Random Forest,SVM,Tree,Magnetostriction,Composition ID,Reference DOI
2.880034988,7.429306833,8.215235706,2.507884723,5.902217513,2.424321044,3.423397652,1100100011,10.1016/S0921-5093(97)80078-0
2.880034988,7.429306833,8.215235706,2.507884723,5.902217513,2.424321044,3.118415508,1100100011,10.1016/S0921-5093(97)80078-0
14.64004463,18.33499908,19.89879571,16.86679845,16.73232592,17.88672617,26.8154547,1100100011,10.1016/S0921-5093(97)80078-0
19.64470145,16.15386063,17.54092602,15.95988989,14.56630424,17.88672617,24.74472382,1100100011,10.1016/S0921-5093(97)80078-0
18.77464721,13.97272218,15.19014274,19.70739434,12.40028256,22.18102177,24.91862727,1100100011,10.1016/S0921-5093(97)80078-0
24.69707491,13.1002668,14.32132922,23.62308048,11.53387389,22.18102177,24.15221698,1100100011,10.1016/S0921-5093(97)80078-0
22.53043891,12.22781142,13.41518634,23.10102441,10.66746521,22.18102177,23.9277446,1100100011,10.1016/S0921-5093(97)80078-0
22.53043891,11.79158373,12.96150074,22.86723712,10.23426088,22.18102177,25.78971079,1100100011,10.1016/S0921-5093(97)80078-0
23.03551295,11.35535604,12.50165043,23.39033703,9.80105654,22.18102177,25.94804079,1100100011,10.1016/S0921-5093(97)80078-0
18.99517303,10.91912835,12.03710108,20.54291267,9.367852204,22.18102177,24.90690244,1100100011,10.1016/S0921-5093(97)80078-0
21.46407297,10.48290066,11.5611504,20.77553682,8.934647868,22.18102177,22.00769125,1100100011,10.1016/S0921-5093(97)80078-0
21.46407297,10.04667297,11.08519973,18.20342991,8.501443531,22.18102177,18.83710835,1100100011,10.1016/S0921-5093(97)80078-0
12.53387765,9.610445284,10.60924905,11.51802287,8.068239195,12.24878855,12.29903695,1100100011,10.1016/S0921-5093(97)80078-0
7.46693861,8.737989904,9.657347691,7.257964066,7.201830522,7.679949579,7.158279284,1100100011,10.1016/S0921-5093(97)80078-0
