,Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Mn,Zr,Nb,Mo,Hf,Ta,W,Ce,Pr,Gd,U,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Coercivity,Curie Temp,Core Loss,Electrical Resistivity,Permeability,Magnetostriction,Magnetic Saturation,Grain Diameter,Reference DOI
0,74.3,13.6,0,0.0,8.0,0.1,0,0.0,0.7,0.0,0.0,0.0,0,0.0,0,0,0.2,2.8,0.0,0,0.5,0,0,0,0,0,817.0,3480.0,,,,,,,3.2,,,,,,1.011,,Experimental
1,74.1,14.3,0,0.0,7.9,0.3,0,0.0,0.7,0.0,0.0,0.0,0,0.0,0,0,0.0,2.8,0.0,0,0.0,0,0,0,0,0,816.0,1200.0,,,,,,,6.2,,,,,,1.067,,Experimental
3,80.0,9.0,0,0.0,7.9,0.0,0,0.0,0.7,0.0,0.0,0.0,0,0.0,0,0,0.0,2.5,0.0,0,0.0,0,0,0,0,0,785.0,1140.0,,,,,,,30.2,,,,,,0.993,,Experimental
4,78.9,8.9,0,0.0,7.7,0.2,0,0.0,0.6,0.0,0.0,0.0,0,0.0,0,0,1.2,2.5,0.0,0,0.0,0,0,0,0,0,783.0,6060.0,,,,,,,5.6,,,,,,1.182,,Experimental
5,72.9,16.2,0,0.0,6.9,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,,,,4.4,,,,,,0.997,,Experimental
8,71.5,13.5,0,2.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,833.0,3600.0,,,,0.0,0.0,20.0,,,,,,,1.199853549,,https://doi.org/10.1016/S0022-3093(01)00546-4
9,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,833.0,3600.0,,,,0.0,0.0,20.0,,,,,,,1.229736635,,https://doi.org/10.1016/S0022-3093(01)00546-4
10,65.5,13.5,0,8.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,833.0,3600.0,,,,0.0,0.0,20.0,,,,,,,1.081198624,,https://doi.org/10.1016/S0022-3093(01)00546-4
12,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,1023.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,1108.8,,,,,,0.77,130.497687,https://doi.org/10.1007/s11741-000-0017-x
13,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,1123.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,1140.0,,,,,,0.74,130.5777858,https://doi.org/10.1007/s11741-000-0017-x
