Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Ce,Pr,Gd,U,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K) ,Secondary Crystallization Peak (K), Longitudinal Annealing field, Transverse Annealing field,Ribbon Thickness (um) ,Coercivity (A/m),Curie Temperature (K),Core Loss (kW/m^3 @ 0.2T 100kHz),Electrical Resistivity (10^-6*ohm*m),Permeability @ 1kHz,Magnetostriction (10^-6),Magnetic Saturation (T),Grain Diameter (nm),Reference DOI
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,928,3600,,,,0,0,25,4644.936707,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,1,9,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,923,3600,,,,0,0,25,4106.876281,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,928,3600,,,,0,0,25,3922.927079,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,883,3600,,,,0,0,25,2428.806915,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,928,3600,,,,0,0,25,996.4925244,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,923,3600,,,,0,0,25,991.8449496,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,883,3600,,,,0,0,25,127.4894336,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,7.5,0,2,9,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,873,3600,,,,0,0,25,13.40232971,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,873,3600,,,,0,0,25,3.708543591,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,723,3600,,,,0,0,25,1.761637973,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,7.5,0,2,9,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,723,3600,,,,0,0,25,1.560954666,,,,,,,,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
