Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Mn,Zr,Nb,Mo,Hf,Ta,W,Ce,Pr,Nd,Gd,U,Annealing temperature,Annealing time,Primary Crystallization Onset,Primary Crystallization Peak ,Secondary Crystallization, Longitudinal Annealing field, Transverse Annealing field,Ribbon thickness,Coercivity,Curie Temperature,core loss ,electrical resistivity,Grain Diameter,Permeability,Magnetostriction,Magnetic Saturation,BCC Lattice Parameter,Reference DOI
75.5,10.5,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,23,,,,,,,,1.3554,,10.4028/www.scientific.net/JMNM.1.135
73.5,14.5,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,23,,,,,,,,1.24826585,,10.4028/www.scientific.net/JMNM.1.135
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,23,,,,,,,,1.22815288,,10.4028/www.scientific.net/JMNM.1.135
72.5,16.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,23,,,,,,,,1.191067941,,10.4028/www.scientific.net/JMNM.1.135
73.5,17.5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,23,,,,,,,,1.196389168,,10.4028/www.scientific.net/JMNM.1.135
72.5,18.5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,23,,,,,,,,1.157836668,,10.4028/www.scientific.net/JMNM.1.135
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,753,3600,,,,0,0,23,,,,,,,2.20E+01,,,10.4028/www.scientific.net/JMNM.1.135
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,1.78E+01,,,10.4028/www.scientific.net/JMNM.1.135
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,793,3600,,,,0,0,23,,,,,,,1.60E+01,,,10.4028/www.scientific.net/JMNM.1.135
71.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,803,3600,,,,0,0,23,,,,,,,1.12E+01,,,10.4028/www.scientific.net/JMNM.1.135
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,753,3600,,,,0,0,23,,,,,,,2.99E+01,,,10.4028/www.scientific.net/JMNM.1.135
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,1.80E+01,,,10.4028/www.scientific.net/JMNM.1.135
